序號,縣市,鄉鎮市區,測站,監測日期,測項(單位),0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
72,桃園市,觀音區,觀音,2016/10/27,一氧化碳 CO (ppm),0.76,0.98,0.87,0.39,0.38,0.38,0.31,0.35,0.32,0.27,0.24,0.23,0.2,0.19,,0.2,0.23,0.37,0.3,0.27,0.36,0.36,0.32,0.34
73,桃園市,觀音區,觀音,2016/10/27,臭氧 O3 (ppb),1.7,0.9,1.1,12,16,18,30,39,41,48,51,54,46,48,,54,54,47,42,43,35,30,26,21
74,桃園市,觀音區,觀音,2016/10/27,懸浮微粒 PM 10  (μg/m 3 ),79,87,95,85,80,72,73,66,63,69,66,66,56,50,,27,33,43,63,61,69,81,90,92
75,桃園市,觀音區,觀音,2016/10/27,氮氧化物 NOx (ppb),37,52,51,17,16,19,12,10,14,8.9,6.6,6.5,8,8.5,,,12,16,14,13,18,21,21,27
76,桃園市,觀音區,觀音,2016/10/27,風速 WIND_SPEED (m/sec),0.9,0.5,1.2,1,0.6,1.1,2.2,1.5,1.6,1.8,2.7,2.5,2.4,2,1.6,1.6,1.5,0.9,1.1,0.9,0.9,1.2,0.9,0.8
77,桃園市,觀音區,觀音,2016/10/27,溫度 AMB_TEMP (℃),26,26,26,26,26,26,26,26,27,28,28,28,28,28,27,27,27,26,26,26,26,26,26,26
78,桃園市,觀音區,觀音,2016/10/27,風向 WIND_DIREC (degrees),68,91,41,61,92,24,47,353,317,305,315,294,298,300,297,310,326,49,63,77,79,73,91,80
79,桃園市,觀音區,觀音,2016/10/27,小時風速值 WS_HR (m/sec),0.9,0.7,0.5,0.8,0.8,0.5,1.3,0.9,0.9,1.7,1.8,2.1,2.1,1.9,1.6,1.4,1,0.7,0.8,1,0.9,1.1,0.8,0.7
80,桃園市,觀音區,觀音,2016/10/27,酸雨 PH_RAIN (pH),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,桃園市,觀音區,觀音,2016/10/27,導電度 RAIN_COND (μmho/cm),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,桃園市,觀音區,觀音,2016/10/27,降雨強度 RAIN_INT (㎜),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,桃園市,觀音區,觀音,2016/10/27,小時風向值 WD_HR (degrees),67,76,43,46,85,68,47,31,327,308,302,302,296,288,298,306,319,2.9,50,75,78,82,79,81
84,桃園市,觀音區,觀音,2016/10/27,一氧化氮 NO (ppb),3.2,9.3,11,1.7,1.4,1.9,2.3,2,2.6,2,1.9,1.8,1.9,2.2,,,1.8,1.7,1.8,1.7,1.6,1.8,1.6,1.6
85,桃園市,觀音區,觀音,2016/10/27,細懸浮微粒 PM 2.5  (μg/m 3 ),59,53,47,42,53,61,64,55,51,39,43,32,32,32,,43*,45*,43,42,45,47,49,57,55
86,桃園市,觀音區,觀音,2016/10/26,二氧化硫 SO2 (ppb),4,3.7,3.4,3.7,3.6,3,3,4.1,4.2,4.2,3.8,3.7,3,,2.8,3.6,3.2,2.7,2.6,2.6,3.6,3.7,3.3,5.5
87,桃園市,觀音區,觀音,2016/10/26,二氧化氮 NO2 (ppb),11,15,12,14,25,15,17,17,7.7,8,8.8,8.5,12,,10,8,5.4,6.7,5.8,6.1,12,23,15,23
